\myresidue{1},\myresidue{2},\myresidue{3},\myresidue{4},\myresidue{5},\myresidue{6},\myresidue{7},\myresidue{8},\myresidue{9},\myresidue{10}
12.1,9.49,12.3,4.99,5.23,34.41,12.75,11.29,17.34,37.46
26.235,19.86,16.79,15.77,18.975,49.175,20.86,19.81,88.965,71.2
35.31,28.63,22.86,24.23,30.77,104.82,38.275,29.82,131.73,83.54
49.91,45.97,36.715,36.52,61.795,171.92,59.75,67.365,223.925,182
78.13,83.72,44.6,62.99,109.21,248.3,93.16,133.43,402.97,309.6
6.54,12.89,13.05,6.16,8.95,37.81,9.82,10.42,40.75,25.08
15.31,19.095,16.01,12.445,15.36,50.56,26.455,25.645,60.15,68.06
29.62,26.135,26.73,16.005,24.08,66.74,34.705,34.375,92.375,104.02
35.76,35.105,40.18,18.985,43.45,106.17,57.395,59.03,116.345,202.23
44.62,40.02,55.33,28.17,54.92,106.17,84.11,69.5,138.28,252.25
